"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","💬 Comment Module","0","📥 Get Comment API","1","0","✅ Retrieve Comment By ID","0"
"0","👤 User Management","0","➕ Create User API","1","0","✅ Valid User Creation","0"
"0","👤 User Management","0","➕ Create User API","5","0","❌ Invalid User Creation","0"
"0","💬 Comment Module","0","🗑 Delete Comment API","1","0","❌ Delete Already Removed Comment","0"
"0","💬 Comment Module","0","📝 Create Comment API","1","0","❌ Invalid Post ID in Comment Request","0"
"0","📝 Post Module","0","🗑 Delete Post API","1","0","✅ Successful Post Deletion","0"
"0","📝 Post Module","0","🗑 Delete Post API","1","0","❌ Delete Already Deleted Post","0"
"0","💬 Comment Module","0","📥 Get Comment API","1","0","✅ Retrieve All Comments","0"
"0","💬 Comment Module","0","📝 Create Comment API","1","0","✅ Valid Comment Creation","0"
"0","📝 Post Module","0","🔍 Get Post API","1","0","✅ Retrieve All Posts","0"
"0","👤 User Module","0","🔍 Get User API","1","0","❌ Get User by Invalid ID","0"
"0","💬 Comment Module","0","✏️ Update Comment API","1","0","✅ Successful Comment Update","0"
"0","📝 Post Module","0","🛠 Update Post API","1","0","❌ Unauthorized Post Update","0"
"0","📝 Post Module","0","🛠 Update Post API","1","0","❌ Invalid Post Update","0"
"0","📝 Post Module","0","🗑 Delete Post API","1","0","❌ Delete with Invalid Post ID","0"
"0","📝 Post Module","0","🛠 Update Post API","1","0","✅ Successful Post Update","0"
"0","📝 Post Module","0","🗑 Delete Post API","1","0","❌ Get Deleted Post","0"
"0","👤 User Management","0","🔁 Update User API","1","0","❌ Invalid Email in User Update","0"
"0","💬 Comment Module","0","📝 Create Comment API","3","0","❌ Missing Fields in Comment","0"
"0","👤 User Module","0","🔍 Get User API","1","0","✅ Get All Users","0"
"0","👤 User Management","0","🗑 Delete User API","1","0","✅ Valid User Deletion","0"
"0","💬 Comment Module","0","🗑 Delete Comment API","1","0","✅ Valid Comment Deletion","0"
"0","💬 Comment Module","0","📝 Create Comment API","1","0","❌ Invalid Email Format in Comment","0"
"0","🔐 Security & Authorization","0","🔑 Auth Token Validation","1","0","❌ Missing Token Access","0"
"0","📝 Post Module","0","📤 Create Post API","1","0","✅ Positive Case - Create Post","0"
"0","🔐 Security & Authorization","0","🔑 Auth Token Validation","1","0","❌ Invalid Token Access","0"
"0","👤 User Module","0","🔍 Get User API","1","0","✅ Get User by Valid ID","0"
"0","📝 Post Module","0","🔍 Get Post API","1","0","✅ Valid GET by Post ID","0"
"0","👤 User Management","0","🔁 Update User API","1","0","❌ Invalid User Update","0"
"0","👤 User Management","0","🗑 Delete User API","1","0","❌ Invalid User Deletion","0"
"0","🔐 Security & Authorization","0","🔑 Auth Token Validation","0","0","❌ Expired Token Access","1"
"0","📝 Post Module","0","🔍 Get Post API","1","0","❌ Invalid GET by Post ID","0"
"0","👤 User Management","0","🗑 Delete User API","1","0","❌ Duplicate Deletion Attempt","0"
"0","📝 Post Module","0","🛠 Update Post API","1","0","❌ Invalid Payload on Post Update","0"
"0","💬 Comment Module","0","📥 Get Comment API","1","0","❌ Invalid Comment Lookup","0"
"0","📝 Post Module","0","🗑 Delete Post API","1","0","❌ Unauthorized Post Deletion","0"
"0","👤 User Management","0","🔁 Update User API","1","0","✅ Successful User Update","0"
